tema,pregunta,respuesta,dificultad
"Igualdad, violencia y LGTBI","Cual era el umbral historico (pregunta de 2017) de personas trabajadoras para plan de igualdad?","Mas de 250 personas trabajadoras, regla ya superada.","alta"
"Igualdad, violencia y LGTBI","Que son los planes de igualdad?","Un conjunto ordenado de medidas, tras diagnostico, para alcanzar la igualdad de trato y oportunidades y eliminar la discriminacion.","media"
"Igualdad, violencia y LGTBI","Que ley regula la proteccion integral contra la violencia de genero?","La Ley Organica 1/2004.","baja"
"Igualdad, violencia y LGTBI","Que organos judiciales crea la LO 1/2004?","Los Juzgados de Violencia sobre la Mujer.","baja"
"Igualdad, violencia y LGTBI","Que derechos tiene la funcionaria victima de violencia de genero, segun la LO 1/2004?","Reduccion o reordenacion del tiempo de trabajo, movilidad geografica de centro de trabajo y excedencia.","media"
"Igualdad, violencia y LGTBI","Que promueve la LO 1/2004 en materia de publicidad y medios?","Acuerdos de autorregulacion con mecanismos de control preventivo y resolucion extrajudicial de controversias.","alta"
"Igualdad, violencia y LGTBI","Mediante que puede acreditarse una situacion de violencia de genero?","Entre otros medios, mediante sentencia condenatoria u orden de proteccion.","media"
"Igualdad, violencia y LGTBI","Que regula la Ley 15/2022?","La igualdad de trato y la no discriminacion con caracter general.","baja"
"Igualdad, violencia y LGTBI","Cita algunos motivos protegidos por la Ley 15/2022.","Nacimiento, origen racial o etnico, sexo, religion, edad, discapacidad u orientacion o identidad sexual, entre otros.","media"
"Igualdad, violencia y LGTBI","Que es la discriminacion multiple o interseccional?","La que se produce por la concurrencia de dos o mas motivos de discriminacion.","alta"
"Igualdad, violencia y LGTBI","Que regula la Ley 4/2023?","La igualdad real y efectiva de personas trans y la garantia de derechos de las personas LGTBI.","baja"
"Igualdad, violencia y LGTBI","De que organismo depende el Consejo de Participacion de las Personas LGTBI?","Del Ministerio de Igualdad, a traves de la Secretaria de Estado de Igualdad y contra la Violencia de Genero.","media"
"Igualdad, violencia y LGTBI","Que deben tener las empresas de mas de 50 personas trabajadoras segun la Ley 4/2023?","Medidas y recursos para la igualdad real de personas LGTBI, incluido un protocolo frente a acoso o violencia.","alta"
"Igualdad, violencia y LGTBI","Que es la orientacion sexual?","La atraccion afectiva, sexual o emocional hacia otras personas.","baja"
"Igualdad, violencia y LGTBI","Que es la identidad sexual o de genero?","La vivencia interna y personal del sexo o genero.","media"
"Igualdad, violencia y LGTBI","Que es la expresion de genero?","La manifestacion externa del genero mediante apariencia, conducta, lenguaje u otros signos.","media"
"Igualdad, violencia y LGTBI","Que son las caracteristicas sexuales?","Los rasgos fisicos, cromosomicos, gonadales, hormonales o anatomicos relacionados con el sexo.","alta"
"Igualdad, violencia y LGTBI","Que regula la Ley 2/2016 de la Comunidad de Madrid?","La identidad y expresion de genero y la igualdad social y no discriminacion.","media"
"Igualdad, violencia y LGTBI","Que regula la Ley 3/2016 de la Comunidad de Madrid?","La proteccion integral contra la LGTBIfobia y la discriminacion por orientacion e identidad sexual.","media"
"Igualdad, violencia y LGTBI","Segun la Ley 3/2016 CAM, en que ambitos tienen derecho a igualdad las personas LGTBI?","En cualquier ambito de la vida: civil, laboral, social, sanitario, educativo, economico y cultural.","alta"
"Igualdad, violencia y LGTBI","Que derecho preguntado de la Ley 3/2016 CAM destaca frente a la discriminacion?","El derecho a recursos y resarcimientos efectivos.","alta"
"Igualdad, violencia y LGTBI","Segun la Ley 2/2016 CAM, como deben ser tratadas las personas por la Administracion?","De acuerdo con su identidad de genero sentida.","media"
"Igualdad, violencia y LGTBI","Es lo mismo orientacion sexual que identidad de genero?","No. La orientacion sexual es atraccion; la identidad de genero es la vivencia interna del genero.","media"
"Igualdad, violencia y LGTBI","Que diferencia hay entre la Ley 2/2016 y la Ley 3/2016 de la Comunidad de Madrid?","La 2/2016 regula identidad y expresion de genero; la 3/2016 regula la proteccion contra la LGTBIfobia.","alta"
"Igualdad, violencia y LGTBI","La accion positiva es lo mismo que una discriminacion arbitraria?","No. La accion positiva debe tener finalidad legitima, proporcionalidad y conexion con una desigualdad real.","alta"
"Igualdad, violencia y LGTBI","Que mecanismos incluye la tutela frente a la discriminacion?","Nulidad de actos discriminatorios, reparacion, indemnizacion y garantia de indemnidad.","media"
"Igualdad, violencia y LGTBI","La Ley 15/2022 sustituye a la LO 3/2007 y a la LO 1/2004?","No. Las complementa, no las sustituye.","alta"
"Igualdad, violencia y LGTBI","Que se entiende por acoso por razon de sexo?","Un comportamiento vinculado al sexo de una persona que atenta contra su dignidad y crea un entorno intimidatorio, degradante u ofensivo.","media"
"Igualdad, violencia y LGTBI","Que es el impacto de genero?","La evaluacion de como afecta una norma o plan a mujeres y hombres.","media"
