tema,pregunta,respuesta,dificultad
"Microsoft 365","Qué integración permite Outlook con Teams en una convocatoria de reunion?","Puede incluir un enlace de reunion de Teams en la convocatoria enviada desde el calendario.","media"
"Microsoft 365","Qué es un marcador o favorito del navegador?","Una dirección de página web guardada para acceder a ella rapidamente.","baja"
"Microsoft 365","Diferencia entre marcador e historial del navegador?","El marcador es una dirección guardada deliberadamente; el historial es el registro automático de páginas visitadas.","media"
"Microsoft 365","Qué evita guardar en el dispositivo el modo incognito o privado?","Ciertos datos locales de la sesión, como historial local, cookies al cerrar o datos de formularios, según el navegador.","media"
"Microsoft 365","Garantiza el modo incognito el anonimato total?","No, no protege frente a la organización, el proveedor de Internet o los sitios web visitados.","alta"
"Microsoft 365","Es Rust un navegador web?","No, es un lenguaje de programación.","media"
"Microsoft 365","Qué es ARPANET?","Una red de origen militar y academico, antecedente histórico de Internet.","media"
"Microsoft 365","Diferencia entre HTTP y HTTPS?","HTTPS es la versión segura de HTTP, con las comunicaciones cifradas mediante certificados.","baja"
"Microsoft 365","Reconocen HTTPS solo Firefox o Chrome?","No, lo reconocen los navegadores modernos en general.","media"
"Microsoft 365","Diferencia entre FTP y SFTP?","SFTP transfiere archivos mediante un canal seguro; FTP no lo hace por defecto.","media"
"Microsoft 365","Qué herramienta corresponde si el enunciado habla de organizar, compartir y colaborar con información y documentos de forma segura?","SharePoint.","media"
"Microsoft 365","Qué herramienta corresponde si el enunciado habla de un equipo formado por personas, contenido y herramientas?","Teams.","media"
"Microsoft 365","Qué herramienta corresponde si el enunciado habla de sincronizar archivos con el equipo local?","OneDrive.","media"
"Microsoft 365","Qué permiso de SharePoint permite solo leer un documento sin editarlo?","Puede ver (lectura).","baja"
"Microsoft 365","Qué controla el nivel de permiso Control total o Propietario en SharePoint?","La administración del sitio, los permisos y la configuración.","media"
"Microsoft 365","Qué son las pestanas dentro de un canal de Teams?","Accesos a documentos, listas, sitios o aplicaciones dentro del canal.","media"
"Microsoft 365","Qué aplicaciones suelen aparecer como pestanas en Teams?","OneNote, Planner o Tasks, Forms y SharePoint, entre otras.","media"
"Microsoft 365","Qué versión oficial fija la convocatoria 2026 para Windows y Office en el Bloque II?","Windows 10 y Microsoft 365 versión escritorio.","baja"
"Microsoft 365","Implica trabajar en Microsoft 365 usar siempre el navegador?","No, puede combinar aplicación de escritorio, web, movil y archivos sincronizados sin conexion.","media"
"Microsoft 365","Qué son las menciones con arroba en Teams o SharePoint?","Avisos dirigidos a personas, canales o equipos concretos.","baja"
"Microsoft 365","Cuál es una buena práctica al compartir documentos administrativos en Microsoft 365?","Conceder solo el permiso necesario y evitar Cualquiera con el vinculo cuando no proceda.","media"
"Microsoft 365","Qué puede ocurrir a un archivo sincronizado si faltan permisos de edición?","Puede quedar en solo lectura o no sincronizarse correctamente.","alta"
"Microsoft 365","Qué distingue a un chat de un canal en cuanto a persistencia?","El canal es mas estructurado y persistente; el chat es mas informal y puntual.","media"
"Microsoft 365","Qué incidencia de clasificación conviene recordar del Tema 21?","Varias preguntas de 2023 sobre navegadores e Internet se clasifican en el Tema 21 aunque el epigrafe oficial 2026 se centra en colaboración de Microsoft 365.","alta"
