tema,pregunta,respuesta,dificultad
"Word","En el teclado espanol de Word, que hace Ctrl+L?","Reemplazar.","media"
"Word","En el teclado espanol de Word, que hace Ctrl+E?","Seleccionar todo.","media"
"Word","En el teclado espanol de Word, que hace Ctrl+N?","Negrita.","media"
"Word","En el teclado espanol de Word, que hace Ctrl+K?","Cursiva.","media"
"Word","En el teclado espanol de Word, que hace Ctrl+J?","Justificar.","media"
"Word","En el teclado espanol de Word, que hace Ctrl+Intro?","Inserta un salto de pagina.","media"
"Word","Cual es la version oficial de Word para la convocatoria 2026?","Microsoft 365 version escritorio.","baja"
"Word","Sirven las preguntas historicas de Word 2016 para preparar la convocatoria 2026?","Si, como referencia de recurrencia cuando tratan funciones que se mantienen, pero la version base de estudio es Microsoft 365 escritorio.","media"
"Word","Que diferencia hay entre Exportar y Guardar como al generar un PDF?","Ambos pueden crear una copia en otro formato, pero Exportar se asocia especialmente a generar una version PDF/XPS para distribucion.","alta"
"Word","Que hace la opcion Vincular al anterior en el encabezado o pie de una seccion nueva?","Hereda el encabezado o pie de la seccion anterior en vez de crear uno independiente.","alta"
