tema,pregunta,respuesta,dificultad
"Outlook","Qué prefijo de reenvio puede aparecer en Outlook en espanol además de FW:?","RV:, según idioma o configuración.","media"
"Outlook","Indica RE: un reenvio?","No. RE: indica respuesta; el reenvio se indica con FW: o RV:.","media"
"Outlook","Diferencia de destinatarios entre Responder, Responder a todos y Reenviar?","Responder va al remitente original; Responder a todos va al remitente y destinatarios visibles; Reenviar va a nuevos destinatarios elegidos por el usuario.","media"
"Outlook","Al responder a un mensaje, se incluyen normalmente los adjuntos originales?","No, normalmente no se incluyen.","media"
"Outlook","Al reenviar un mensaje, se incluyen normalmente los adjuntos originales?","Si, normalmente se conservan.","media"
"Outlook","Qué agrupa una conversación en Outlook?","Mensajes relacionados, normalmente por el mismo asunto o hilo.","baja"
"Outlook","Por que criterio NO se agrupan las conversaciones según la pregunta histórica del proyecto?","No se agrupan por remitente, destinatario ni fecha de envio como criterio principal, sino por asunto.","alta"
"Outlook","Para que sirve una marca de seguimiento?","Para senalar mensajes que requieren una acción o control posterior.","baja"
"Outlook","Se pueden aplicar marcas de seguimiento a mensajes enviados?","Si, pueden aplicarse tanto a enviados como a recibidos.","media"
"Outlook","Qué es una carpeta de búsqueda en Outlook?","Una vista virtual de mensajes que cumplen un criterio; no mueve fisicamente los mensajes.","media"
"Outlook","Qué hace la Limpieza de una conversación en Outlook?","Elimina mensajes redundantes de la conversación.","media"
"Outlook","Qué es una regla de mensaje en Outlook?","Una acción automática configurada por el usuario para procesar correos que cumplen determinadas condiciones.","baja"
"Outlook","Qué elementos componen una regla de Outlook?","Nombre, condición, acción y excepción opcional.","media"
"Outlook","Diferencia entre condición y excepción en una regla?","La condición activa la regla; la excepción impide aplicarla en casos concretos.","media"
"Outlook","Diferencia entre una regla y un paso rápido?","La regla se aplica automaticamente al cumplirse condiciones; el paso rápido se ejecuta cuando el usuario lo pulsa.","alta"
"Outlook","Es una regla una plantilla de mensaje?","No. Una regla automatiza acciones sobre mensajes; no es una plantilla ni un programa externo.","media"
"Outlook","Para que sirve la libreta de direcciones?","Para seleccionar destinatarios o consultar direcciones disponibles.","baja"
"Outlook","Qué es el autocompletar de direcciones en Outlook?","Una sugerencia de direcciones usadas anteriormente; no implica que sea un contacto guardado.","media"
"Outlook","Qué datos puede guardar un contacto de Outlook?","Nombre, correo, teléfono, empresa, dirección o notas de una persona o entidad.","baja"
"Outlook","Para que sirve una lista o grupo de contactos?","Para agrupar varios destinatarios y enviarles mensajes como conjunto.","baja"
"Outlook","Desde que modulo se crean contactos y grupos de contactos?","Desde el modulo Personas.","media"
"Outlook","Diferencia entre Cita y Reunion?","La cita reserva tiempo, normalmente sin asistentes obligatorios; la reunion incluye asistentes invitados.","media"
"Outlook","Qué es una convocatoria en Outlook?","La invitación de reunion enviada a los asistentes.","baja"
"Outlook","Cuáles son las respuestas tipicas a una convocatoria de reunion?","Aceptar, provisional o rechazar.","baja"
"Outlook","Diferencia entre Cita y Evento?","La cita tiene hora de inicio y fin; el evento ocupa uno o varios días completos.","media"
"Outlook","Es un evento sinonimo de reunion?","No. La reunion tiene asistentes convocados; el evento no implica asistentes.","alta"
"Outlook","Qué indica el estado Ocupado en el calendario?","Que ese tramo horario aparece reservado o bloqueado.","baja"
"Outlook","Qué acción NO es propia del modulo Calendario según la pregunta histórica del proyecto?","Gestionar contactos o listas de distribución.","media"
"Outlook","Cambiar la vista del calendario (día, semana, mes) modifica las citas?","No, solo cambia como se muestran.","media"
"Outlook","Qué controla la opción Mostrar como en una cita o reunion?","La disponibilidad: libre, ocupado, provisional o fuera de la oficina.","media"
"Outlook","Diferencia entre adjuntar un archivo y compartir un vinculo de OneDrive o SharePoint?","El adjunto envia una copia del archivo; el vinculo da acceso al archivo centralizado.","alta"
"Outlook","Garantiza una confirmación de lectura que el destinatario tramito el mensaje?","No, solo informa de que se leyo, si se emite.","media"
"Outlook","Cuándo conviene usar Responder a todos?","Solo cuando todos los destinatarios visibles deban conocer la respuesta.","media"
"Outlook","Qué pregunta histórica se clasifico como Tema 20 aunque en realidad trata de Access?","2023-E2-006.","alta"
"Outlook","Qué versión de Outlook no debe estudiarse como base según la convocatoria 2026?","Outlook 2016 u otra versión distinta de Microsoft 365 escritorio.","media"
"Outlook","A que tema pertenece principalmente la integración de Outlook con Teams, SharePoint y OneDrive?","Al Tema 21, aunque Outlook en si se estudia en el Tema 20.","media"
"Outlook","Indica que Elementos enviados contenga un mensaje que el destinatario lo ha leido?","No, solo indica que Outlook lo envio desde la cuenta.","alta"
"Outlook","Qué carpeta almacena los mensajes identificados como spam?","Correo no deseado.","baja"
"Outlook","Qué permite hacer Adjuntar elemento de Outlook, a diferencia de Adjuntar archivo?","Incluir mensajes, contactos, tareas o elementos de calendario, no solo archivos del equipo.","alta"
