id,anyo,ejercicio,numero,tema,subtema,tipo,dificultad,pregunta,opcion_A,opcion_B,opcion_C,opcion_D,respuesta_correcta,fuente
2017-E1-040,2017,1,40,,Ortografía,psicotecnico_verbal,baja,"bayena, auecado, ebullición, baladí, oyente,oxidante,
devacle, tayudo, activo, orda",4,7,6,"5 difusión o comunicación pública por cualquier medio o en cualquier forma, salvo persona o entidad autorizada a tal efecto.",D,2017_Cuestionario1.CAM.pdf
2017-E1-041,2017,1,41,,Ortografía,psicotecnico_verbal,baja,"específicamente, lápiz, algodón, cesped, pértiga,
aguarrás, árido, artífice, absorbér, reiterádamente",3,4,5,2,A,2017_Cuestionario1.CAM.pdf
2017-E1-042,2017,1,42,,Ortografía,psicotecnico_verbal,baja,"ámbos, inquietud, cuadrúpedo, contrarrelój, datil,
aquí, torax, epica, adiós, verosímil",4,6,7,5,D,2017_Cuestionario1.CAM.pdf
2017-E1-043,2017,1,43,,Analogías verbales,psicotecnico_verbal,media,Recto es a torcido como afable es a ___________:,Enflautado,Grave,Desagradable,Nato,C,2017_Cuestionario1.CAM.pdf
2017-E1-044,2017,1,44,,Analogías verbales,psicotecnico_verbal,media,Mesura es a desmesura como inmediatez es a ___________:,Tardanza,Irrealidad,Prominencia,Distracción,A,2017_Cuestionario1.CAM.pdf
2017-E1-045,2017,1,45,,Analogías verbales,psicotecnico_verbal,media,Encontrar es a perder como estorbar es a ___________:,Distraer,Facilitar,Limpiar,"Injertar difusión o comunicación pública por cualquier medio o en cualquier forma, salvo persona o entidad autorizada a tal efecto",B,2017_Cuestionario1.CAM.pdf
2017-E1-046,2017,1,46,1,Constitución,constitucion,baja,Los ciudadanos y los poderes públicos están sujetos a:,La Constitución y a la ley,La Constitución y al resto del ordenamiento jurídico,La ley y al resto del ordenamiento jurídico,"La Constitución, la ley y al resto del ordenamiento jurídico",B,2017_Cuestionario1.CAM.pdf
2017-E1-047,2017,1,47,1,Valores superiores,constitucion,media,"Conforme a lo establecido en la Constitución Española de 1978 cualquier
ciudadano podrá recabar ante los Tribunales ordinarios por un procedimiento
basado en los principios de preferencia y sumariedad y, en su caso, a través del
recurso de amparo ante el Tribunal Constitucional, la tutela de:",Las libertades y derechos reconocidos en el artículo 14 y la Sección primera del Capítulo II del Título I,Las libertades y derechos reconocidos en el artículo 14 y la Sección segunda del Capítulo II del Título I,Los principios rectores reconocidos en el Capítulo III del Título I,La respuesta b) es correcta y además el recurso de amparo será aplicable a la objeción de conciencia reconocida en el artículo 30,A,2017_Cuestionario1.CAM.pdf
2017-E1-048,2017,1,48,1,Reforma constitucional,constitucion,baja,Cuando se propusiere la revisión total de la Constitución se requiere:,Aprobación del principio por mayoría de dos tercios de cada Cámara,Aprobación del proyecto por mayoría de dos tercios de cada Cámara,El proyecto por mayoría de ambas Cámaras después del referéndum,La disolución de las Cámaras después de aprobado el proyecto de reforma,A,2017_Cuestionario1.CAM.pdf
2017-E1-049,2017,1,49,2,Asamblea de Madrid,comunidad_madrid,baja,"Para la distribución de escaños en la Asamblea de Madrid, sólo serán tenidas en
cuenta las listas que hayan obtenido:","Al menos, el 1 por 100 de los sufragios válidamente emitidos","Al menos, el 5 por 100 de los sufragios válidamente emitidos",Más del 2 por 100 de los sufragios válidamente emitidos,Más del 0.5 por 100 de los sufragios válidamente emitidos,B,2017_Cuestionario1.CAM.pdf
2017-E1-050,2017,1,50,2,Competencias,comunidad_madrid,baja,La Comunidad de Madrid no tiene competencia exclusiva en materia de:,Pesca fluvial,Espectáculos públicos,Helipuertos deportivos,Aeropuertos que desarrollen actividades comerciales,D,2017_Cuestionario1.CAM.pdf
2017-E1-051,2017,1,51,2,Estatuto de Autonomía,comunidad_madrid,media,Según el Estatuto de Autonomía de la Comunidad de Madrid,"La Comunidad de Madrid podrá establecer acuerdos de cooperación con otras Comunidades Autónomas, previa autorización de las Cortes Generales",La Comunidad de Madrid no podrá establecer acuerdos de cooperación con otras Comunidades Autónomas,"La Comunidad de Madrid podrá establecer acuerdos de cooperación con otras Comunidades Autónomas, sin autorización de las Cortes Generales",Ninguna respuesta es correcta,A,2017_Cuestionario1.CAM.pdf
2017-E1-052,2017,1,52,2,Asamblea de Madrid,comunidad_madrid,baja,"Ordenar la publicación en el “Boletín Oficial de la Comunidad de Madrid” del
nombramiento de Presidente del Tribunal Superior de Justicia de Madrid, es
competencia de:",Consejero de Justicia,Presidente de la Asamblea de la Comunidad de Madrid,El Rey,Presidente de la Comunidad de Madrid,D,2017_Cuestionario1.CAM.pdf
2017-E1-053,2017,1,53,3,Consejo de Gobierno,comunidad_madrid,baja,"Las normas con rango de ley emanadas del Consejo de Gobierno son
denominadas:",Decretos,Reales Decretos,Decretos Legislativos,Decretos Leyes,C,2017_Cuestionario1.CAM.pdf
2017-E1-054,2017,1,54,3,Consejo de Gobierno,comunidad_madrid,baja,La situación de interinidad en la Presidencia de la Comunidad de Madrid:,"No podrá ser superior a dos meses, ampliables en otros dos",Tendrá duración indefinida hasta que cese la causa que produjo la interinidad,"No podrá ser superior a cuatro meses, ampliable en uno más",Tendrá duración indefinida hasta que el Consejo de Gobierno comunique la desaparición de las circunstancias que motivaron la interinidad,A,2017_Cuestionario1.CAM.pdf
2017-E1-055,2017,1,55,4,Ordenamiento jurídico,legislacion,media,"Según el artículo 94 de la Constitución Española, los tratados internacionales de
carácter político:","Deben ser inmediatamente informados, una vez concluidos, al Congreso y al Senado",Requieren previa autorización de las Cortes Generales,Exigen una revisión constitucional previa,No son vinculantes,B,2017_Cuestionario1.CAM.pdf
2017-E1-056,2017,1,56,4,Leyes orgánicas,legislacion,baja,"Las formas de ejercicio y requisitos de la iniciativa popular para la presentación
de proposiciones de ley está regulado por:",Un reglamento,Una ley ordinaria,Una ley orgánica,La Constitución Española,C,2017_Cuestionario1.CAM.pdf
2017-E1-057,2017,1,57,4,Fuentes del derecho,legislacion,media,"Conforme a lo establecido en el artículo 1 del Código Civil, son fuentes del
ordenamiento jurídico español:","La ley, la costumbre y la jurisprudencia","La ley, la costumbre y los principios generales del derecho y la jurisprudencia","La ley, la costumbre y los principios generales del derecho",La constitución y la ley,C,2017_Cuestionario1.CAM.pdf
2017-E1-058,2017,1,58,6,Procedimiento administrativo,procedimiento_administrativo,media,"Conforme al artículo 51 de la Ley 39/2015, de 1 de octubre, del Procedimiento
Administrativo Común de las Administraciones Públicas, cuando un órgano declare
la nulidad o anule las actuaciones y disponga la conservación de aquel acto cuyo
contenido se hubiera mantenido igual de no haberse cometido la infracción, se
produce respecto de dicho acto:",Su conversión,Su ratificación,Su convalidación,Su conservación,D,2017_Cuestionario1.CAM.pdf
2017-E1-059,2017,1,59,6,Ley 39/2015,procedimiento_administrativo,media,"Según la ley 39/2015, se entenderá desestimado un recurso extraordinario de
revisión si desde su interposición han trascurrido sin haberse dictado y notificado
la resolución más de:",1 mes,2 meses,3 meses,6 meses,C,2017_Cuestionario1.CAM.pdf
2017-E1-060,2017,1,60,6,Ley 39/2015,procedimiento_administrativo,baja,"Supone una alteración de la titularidad de la competencia de un órgano
administrativo:",La encomienda de gestión,La delegación de firma y la suplencia,"La encomienda de gestión, la delegación de firma y la suplencia",Ninguna respuesta es correcta,D,2017_Cuestionario1.CAM.pdf
2017-E1-061,2017,1,61,6,Procedimiento administrativo,procedimiento_administrativo,baja,"El ámbito subjetivo de aplicación de la ley 39/2015 del Procedimiento
Administrativo Común de las Administraciones Públicas no incluye a:",Cualesquiera organismos públicos y entidades de derecho público vinculados o dependientes de las Administraciones Públicas,Las Universidades privadas en el territorio de la Comunidad de Madrid,La Administración General del Estado,Las Entidades que integran la Administración Local,B,2017_Cuestionario1.CAM.pdf
2017-E1-062,2017,1,62,6,Procedimiento administrativo,procedimiento_administrativo,baja,"Cuando un procedimiento se inicia por denuncia, se entiende que se ha
iniciado:",A instancia de parte,Como consecuencia de orden superior,De oficio,No puede iniciarse por denuncia,C,2017_Cuestionario1.CAM.pdf
2017-E1-063,2017,1,63,6,Procedimiento administrativo,procedimiento_administrativo,baja,"¿En qué momento pueden los interesados en un procedimiento administrativo
alegar defectos de tramitación?",Antes del trámite de audiencia,Antes de que se redacte la propuesta de resolución,En cualquier momento,En el período de prueba,C,2017_Cuestionario1.CAM.pdf
2017-E1-064,2017,1,64,7,Jurisdicción contencioso-administrativa,legislacion,baja,"El plazo para interponer el recurso contencioso-administrativo contra un acto
expreso es de:",Tres meses,Seis meses,Un mes,Dos meses,D,2017_Cuestionario1.CAM.pdf
2017-E1-065,2017,1,65,7,Jurisdicción contencioso-administrativa,legislacion,baja,Quedan excluidas del ámbito contencioso-administrativo:,La responsabilidad patrimonial de las Administraciones Públicas,El recurso contencioso disciplinario militar,Los actos y disposiciones del Consejo General del Poder Judicial,La protección jurisdiccional de los derechos fundamentales,B,2017_Cuestionario1.CAM.pdf
2017-E1-066,2017,1,66,7,Jurisdicción contencioso-administrativa,legislacion,media,"Según Ley 29/1998, de 13 de julio, reguladora de la Jurisdicción Contencioso-
administrativa desde que el pleito haya sido declarado concluso, la sentencia se
dictará en un plazo de:",Siete días,Diez días,Quince días,Veinte días,B,2017_Cuestionario1.CAM.pdf
2017-E1-067,2017,1,67,8,Transparencia,transparencia,baja,"El Presidente del Consejo de Transparencia y Buen Gobierno cesará en su
cargo","Mediante Real Decreto, a propuesta del titular del Ministerio de Hacienda y Administraciones Públicas",Por la expiración de su mandato anual,A petición propia o por separación acordada por el Gobierno,Incapacidad sobrevenida,C,2017_Cuestionario1.CAM.pdf
2017-E1-068,2017,1,68,8,Derecho de acceso a la información pública,transparencia,media,"Las disposiciones del Título I “Transparencia de la actividad pública” de la Ley
19/2013 de transparencia, acceso a la información pública y buen gobierno, se
aplicarán a:","Las corporaciones de Derecho Público, en lo relativo a todas sus actividades","Entre otros, a la Casa de su Majestad el Rey, el Congreso de los Diputados, el Senado, el Tribunal Constitucional y el Consejo General del Poder Judicial, así como el Banco de España, el Consejo de Estado, el Defensor del Pueblo, el Tribunal de Cuentas, el Consejo Económico y Social y las instituciones autonómicas análogas, en relación con sus actividades sujetas a Derecho Civil","Las sociedades mercantiles en cuyo capital social la participación, directa o indirecta, de las entidades previstas en este artículo sea inferior al 50 por 100",Las fundaciones del sector público previstas en la legislación en materia de fundaciones,D,2017_Cuestionario1.CAM.pdf
2017-E1-069,2017,1,69,8,Portal de transparencia,transparencia,baja,"El Plan de Gobierno recogido en el Portal de transparencia de la Comunidad de
Madrid facilita información acerca de:","El organigrama con identificación de los responsables de las unidades, su perfil y trayectoria profesional","La información sobre altos cargos: retribuciones, declaraciones de bienes y de renta",El conjunto de compromisos adquiridos por la Comunidad de Madrid,Las memorias e Informes incluidos en los expedientes de elaboración de textos normativos,C,2017_Cuestionario1.CAM.pdf
2017-E1-070,2017,1,70,9,Contratos del sector público,contratos,media,"Según la Ley 9/2017, de 8 de noviembre, de Contratos del Sector Público en toda
contratación pública se incorporarán de manera transversal y preceptiva:",Los mecanismos necesarios para una mejor relación calidad-precio,Criterios ambientales y profesionales siempre que guarden relación con el objeto del contrato,Mecanismos sociales y de análisis de impacto ambiental que permitan una buena relacion calidad-precio,Criterios sociales y medioambientales siempre que guarde relación con el objeto del contrato,D,2017_Cuestionario1.CAM.pdf
2017-E1-071,2017,1,71,9,Contratos del sector público,contratos,media,"Según la ley 9/2017, de 8 de noviembre, de Contratos del Sector Público, los
contratos de obras se consideran menores cuando el valor estimado es inferior a:",15.000 euros,20.000 euros,40.000 euros,100.000 euros,C,2017_Cuestionario1.CAM.pdf
2017-E1-072,2017,1,72,9,Contratos del sector público,contratos,baja,Son contratos de suministros:,"Los que tienen por objeto la adquisición, el arrendamiento financiero, o el arrendamiento, con o sin opción a compra, de productos o bienes muebles",Los relativos a propiedades incorporales o valores negociables,a y b son correctas,Ninguna respuesta es correcta,A,2017_Cuestionario1.CAM.pdf
2017-E1-073,2017,1,73,10,Personal al servicio de las Administraciones Públicas,funcion_publica,baja,Son empleados públicos:,Los Funcionarios interinos,Personal eventual,Personal laboral temporal,Todas son correctas,D,2017_Cuestionario1.CAM.pdf
2017-E1-074,2017,1,74,10,Personal al servicio de las Administraciones Públicas,funcion_publica,media,"De acuerdo con la Ley de la Función Pública de la Comunidad de Madrid, el
puesto asignado con carácter provisional a un funcionario que no tenga derecho a
reserva de puesto de trabajo, se convocará para su provisión definitiva:",En el plazo máximo de dieciocho meses,En el plazo de dieciocho meses,En el plazo máximo de un año,En el plazo de un año,C,2017_Cuestionario1.CAM.pdf
2017-E1-075,2017,1,75,10,Situaciones administrativas,funcion_publica,baja,"Cuando un funcionario de carrera es autorizado para realizar una misión por
período superior a 6 meses en un organismo internacional pasará a ser declarado
en situación de:",Servicios en otras Administraciones Públicas,"Servicio activo, pues su situación no cambia",Excedencia forzosa,Servicios especiales,D,2017_Cuestionario1.CAM.pdf
