id,anyo,ejercicio,numero,tema,subtema,tipo,dificultad,pregunta,opcion_A,opcion_B,opcion_C,opcion_D,respuesta_correcta,fuente,procedencia
ACA-PSI-059-011,,,11,,Problemas algebraicos,psicotecnico_numerico,alta,"Salgo de casa con un dinero, me gasto la tercera parte y anado 25 euros; de lo que tengo ahora me gasto un quinto y me quedan 100 euros. Con cuanto dinero sali?",250,150,300,400,C,01_examenes_originales/psicotecnicos_academias/originales_docx/sin_fecha/psicotecnico_59_reglas_de_tres_fracciones.docx,academia_no_oficial
ACA-PSI-059-012,,,12,,Comparacion numerica,psicotecnico_numerico,media,"Lola, Juana, Alexia y Carla hacen una carrera en una pista circular. Al cabo de cinco minutos: Lola ha dado tres vueltas, Juana ha dado tres vueltas y cuarto, Alexia ha dado dos vueltas y cuarto y Carla ha dado dos vueltas y media. Quien corrio a mas velocidad?",Lola,Alexia,Juana,Carla,C,01_examenes_originales/psicotecnicos_academias/originales_docx/sin_fecha/psicotecnico_59_reglas_de_tres_fracciones.docx,academia_no_oficial
ACA-PSI-059-013,,,13,,Fracciones,psicotecnico_numerico,media,Halle la quinta parte del doble de la mitad de 550 multiplicado por tres.,270,330,275,110,B,01_examenes_originales/psicotecnicos_academias/originales_docx/sin_fecha/psicotecnico_59_reglas_de_tres_fracciones.docx,academia_no_oficial
ACA-PSI-059-014,,,14,,Codificacion verbal,psicotecnico_logico,alta,"Una enciclopedia esta dividida en siete volumenes y se aplican reglas de codificacion por letra inicial, letra final, volumen y numero de silabas. Elija la alternativa correctamente codificada para la palabra FABRICA.",fA20212,fA2A212,FA202H,F20hA1,A,01_examenes_originales/psicotecnicos_academias/originales_docx/sin_fecha/psicotecnico_59_reglas_de_tres_fracciones.docx,academia_no_oficial
ACA-PSI-059-015,,,15,,Codificacion verbal,psicotecnico_logico,alta,"Una enciclopedia esta dividida en siete volumenes y se aplican reglas de codificacion por letra inicial, letra final, volumen y numero de silabas. Elija la alternativa correctamente codificada para la palabra HABITAT.",hT20262,hT2A262,hta262,ht2A62,B,01_examenes_originales/psicotecnicos_academias/originales_docx/sin_fecha/psicotecnico_59_reglas_de_tres_fracciones.docx,academia_no_oficial
ACA-PSI-059-016,,,16,,Codificacion verbal,psicotecnico_logico,alta,"Una enciclopedia esta dividida en siete volumenes y se aplican reglas de codificacion por letra inicial, letra final, volumen y numero de silabas. Elija la alternativa correctamente codificada para la palabra MACABRO.",MO50452,MO40442,MO40452,mO4504,B,01_examenes_originales/psicotecnicos_academias/originales_docx/sin_fecha/psicotecnico_59_reglas_de_tres_fracciones.docx,academia_no_oficial
ACA-PSI-059-020,,,20,,Fracciones,psicotecnico_numerico,alta,"Para llegar a nuestro destino de vacaciones, hemos recorrido por la manana 2/3 del camino; por la tarde, 2/3 de lo que faltaba, y aun nos quedan 30 km para llegar. Cual es la distancia total a la que esta dicho destino?",250 km,330 km,270 km,150 km,C,01_examenes_originales/psicotecnicos_academias/originales_docx/sin_fecha/psicotecnico_59_reglas_de_tres_fracciones.docx,academia_no_oficial
ACA-PSI-059-021,,,21,,Fracciones,psicotecnico_numerico,media,"Adrian, Eloy y Mari Carmen quieren comprar un regalo de cumpleanos que cuesta 27 euros. Adrian aporta 2/5 del precio total; Eloy, 1/3, y Mari Carmen, el resto. Cuanto dinero pone Mari Carmen?","6,2","7,2","5,2","3,2",B,01_examenes_originales/psicotecnicos_academias/originales_docx/sin_fecha/psicotecnico_59_reglas_de_tres_fracciones.docx,academia_no_oficial
ACA-PSI-059-022,,,22,,Porcentajes y proporciones,psicotecnico_numerico,media,"En el colegio A, les gusta el rock a 12 de sus 60 alumnos. En el colegio B, les gusta el rock a 18 de sus 120 alumnos. En que colegio gusta mas el rock?",En el colegio A,En el colegio B,En ambos por igual,Ninguna es correcta,A,01_examenes_originales/psicotecnicos_academias/originales_docx/sin_fecha/psicotecnico_59_reglas_de_tres_fracciones.docx,academia_no_oficial
ACA-PSI-059-023,,,23,,Porcentajes e IVA,psicotecnico_numerico,media,"Un ordenador cuesta 1 036 euros sin IVA. Sabiendo que se aplica un 16% de IVA, cual sera su precio con IVA?","1201,76","1160,32",1150.35,1155,A,01_examenes_originales/psicotecnicos_academias/originales_docx/sin_fecha/psicotecnico_59_reglas_de_tres_fracciones.docx,academia_no_oficial
ACA-PSI-059-024,,,24,,Porcentajes e IVA,psicotecnico_numerico,media,"El precio de un litro de leche con IVA es de 0,6 euros. Sabiendo que el IVA en alimentacion es del 7%, cual sera su precio sin IVA?","0,64","0,56","0,32","0,52",B,01_examenes_originales/psicotecnicos_academias/originales_docx/sin_fecha/psicotecnico_59_reglas_de_tres_fracciones.docx,academia_no_oficial
ACA-PSI-059-025,,,25,,Porcentajes e IVA,psicotecnico_numerico,baja,"El precio sin IVA de un determinado medicamento es de 15 euros. Sabiendo que el IVA es del 4%, cuanto costara con IVA?","12,06","14,42","15,06","13,05",C,01_examenes_originales/psicotecnicos_academias/originales_docx/sin_fecha/psicotecnico_59_reglas_de_tres_fracciones.docx,academia_no_oficial
